Program: dinput8.dll
Image base: 10000000

== Interesting symbols ==
100c1b80 | Label | ?GetClickedActor@CDisplay@EQClasses@@QAEPAUT3D_tagACTORINSTANCE@2@KKKPAX0@Z
100c1b90 | Function | EQClasses::CDisplay::WriteTextHD2
100c1b90 | Label | ?WriteTextHD2@CDisplay@EQClasses@@SAHPBDHHH@Z
100c1ba0 | Function | EQClasses::CDisplay::GetUserDefinedColor
100c1ba0 | Label | ?GetUserDefinedColor@CDisplay@EQClasses@@SAKH@Z
100c1bb0 | Function | EQClasses::CDisplay::GetWorldFilePath
100c1bb0 | Label | ?GetWorldFilePath@CDisplay@EQClasses@@QAE?B_NPADPBD@Z
100c1bc0 | Function | EQClasses::CDisplay::ZoneMainUI
100c1bc0 | Label | ?ZoneMainUI@CDisplay@EQClasses@@QAEXXZ
100c1bd0 | Function | EQClasses::CDisplay::CleanGameUI
100c1bd0 | Label | ?CleanGameUI@CDisplay@EQClasses@@QAEXXZ
100c1be0 | Function | EQClasses::CDisplay::ReloadUI
100c1be0 | Label | ?ReloadUI@CDisplay@EQClasses@@QAEX_N@Z
100c1c30 | Function | EQClasses::CMerchantWnd::DisplayBuyOrSellPrice
100c1c30 | Label | ?DisplayBuyOrSellPrice@CMerchantWnd@EQClasses@@QAEX_NPAVEQ_Item@2@@Z
100c1c80 | Function | EQClasses::CItemDisplayWnd::SetSpell
100c1c80 | Label | ?SetSpell@CItemDisplayWnd@EQClasses@@QAEXH_NH@Z
100c1c90 | Function | EQClasses::CItemDisplayWnd::UpdateStrings
100c1c90 | Label | ?UpdateStrings@CItemDisplayWnd@EQClasses@@QAEXXZ
100c1d10 | Function | EQClasses::CChatWindow::WndNotification
100c1d10 | Label | ?WndNotification@CChatWindow@EQClasses@@QAEHPAVCXWnd@2@IPAX@Z
100c1d30 | Function | EQClasses::CChatWindow::Clear
100c1d30 | Label | ?Clear@CChatWindow@EQClasses@@QAEXXZ
100c1d40 | Function | EQClasses::CChatWindow::CChatWindow
100c1d40 | Label | ??0CChatWindow@EQClasses@@QAE@PAVCXWnd@1@@Z
100c1d50 | Function | EQClasses::CChatManager::InitContextMenu
100c1d50 | Label | ?InitContextMenu@CChatManager@EQClasses@@QAEHPAVCChatWindow@2@@Z
100c1d60 | Function | EQClasses::CChatManager::GetRGBAFromIndex
100c1d60 | Label | ?GetRGBAFromIndex@CChatManager@EQClasses@@QAEKH@Z
100c1ef0 | Function | EQClasses::CXWnd::WndNotification
100c1ef0 | Label | ?WndNotification@CXWnd@EQClasses@@QAEHPAV12@IPAX@Z
100c1f10 | Function | EQClasses::CChatWindow::operator_delete[]
100c1f10 | Label | ??_VCChatWindow@EQClasses@@SAXPAX@Z
100c2470 | Function | DirectInput8Create
100c6cc0 | Function | ShutdownChatHook
100c6d50 | Function | dsp_chat_no_events
100c6de0 | Function | InitializeChatHook
100c6e30 | Function | ShutdownDisplayHook
100c70c0 | Function | InitializeDisplayHook
100c7230 | Function | ShutdownMQ2Commands
100c8000 | Function | InitializeMQ2Commands
100c8610 | Function | LootAll
100ca280 | Function | DisplayLoginName
100d39c0 | Function | dataNamingSpawn
100d5180 | Function | dataSpawnCount
100d5260 | Function | dataNearestSpawn
100d53c0 | Function | dataLastSpawn
100d58d0 | Function | dataMacroQuest
100d5d20 | Function | dataSpawn
100d60f0 | Function | ParseMQ2DataPortion
100d66c0 | Function | ShutdownMQ2Data
100d6700 | Function | InitializeMQ2Data
100d6a00 | Function | RemoveMQ2Data
100d6b70 | Function | AddMQ2Data
100d6d50 | Function | FindMQ2DataType
100d6e10 | Function | RemoveMQ2Type
100d6f70 | Function | AddMQ2Type
100e5440 | Function | ShutdownMQ2DataTypes
100e5a00 | Function | InitializeMQ2DataTypes
100e78c0 | Function | CheckChatForEvent
100e8500 | Function | ClearMQ2DataVariables
100e8630 | Function | DeleteMQ2DataVariable
100e86d0 | Function | AddMQ2DataVariableFromData
100e86f0 | Function | AddMQ2DataVariable
100e8a50 | Function | ShutdownMQ2Detours
100ea880 | Function | AddDetour
100ed400 | Function | RemoveDetour
100ed4a0 | Function | InitializeMQ2Detours
100ed4e0 | Function | AddDetourf
100edd00 | Function | InitializeMQ2ItemDisplay
100f1230 | Function | InitializeMQ2Labels
100f3a40 | Function | OnAddSpawn
100f9c10 | Function | ShutdownParser
100f9c70 | Function | InitializeParser
100f9c90 | Function | WriteChatColor
100f9cb0 | Function | ShutdownMQ2Pulse
100fa850 | Function | InitializeMQ2Pulse
100fafa0 | Function | ShutdownMQ2Spawns
100fbb40 | Function | UpdateMQ2SpawnSort
100fbd10 | Function | InitializeMQ2Spawns
10100120 | Function | StripMQChat
10109060 | Function | EstimatedDistanceToSpawn
10109170 | Function | GetLightForSpawn
101091c0 | Function | NthNearestSpawn
10109770 | Function | DistanceToSpawn3D
1010a330 | Function | MQ2DataError
1010a340 | Function | SpawnMatchesSearch
1010abd0 | Function | CountMatchingSpawns
1010ac50 | Function | ParseSearchSpawn
1010add0 | Function | WriteChatf
1010ae30 | Function | DisplayOverlayText
1010aea0 | Function | SearchThroughSpawns
1010afd0 | Function | SetDisplaySWhoFilter
1010b180 | Function | FormatSearchSpawn
1010d050 | Function | ParseSearchSpawnArgs
1010f120 | Function | ClearSearchSpawn
10110da0 | Function | SendWndNotification
101119d0 | Function | ShutdownMQ2Windows
10111da0 | Function | FindMQ2Window
10111fb0 | Function | InitializeMQ2Windows
1012116c | Label | s_.detour_1012116c
101387b4 | Label | s_Is_Shield_Detour_101387b4
1013884c | Label | s_MQ2Main.dll_1013884c
10138858 | Label | s_MQ2_Detected_10138858
10138868 | Label | s_Successfully_unloaded_MQ2_10138868
101388c4 | Label | s_AltCurr_DisplayMissingButton_101388c4
10138918 | Label | s_applying_mq2_injects_10138918
10138a90 | Label | s_mq2_prevention_enabled_10138a90
10138c58 | Label | s_CHAT_SEMICOLON_10138c58
10138c68 | Label | s_CHAT_SLASH_10138c68
10138cc4 | Label | s_CHAT_EMPTY_10138cc4
10138d80 | Label | s_initializing_mq2_hooks_10138d80
10138db4 | Label | s_DirectInput8Create_10138db4
1013a3f0 | Label | s_CreateDevice_Hook_called_1013a3f0
1013a40c | Label | IDirectInput8Hook::vftable_meta_ptr
1013a410 | Label | IDirectInput8Hook::vftable
1013a508 | Label | IDirectInputDevice8Hook::vftable_meta_ptr
1013a50c | Label | IDirectInputDevice8Hook::vftable
1013a65c | Label | s_Initializing_chat_hook_1013a65c
1013a6c8 | Label | s_Initializing_Display_Hooks_1013a6c8
1013a6e4 | Label | s_Shutting_down_Display_Hooks_1013a6e4
1013a7b8 | Label | s_CCommandHook::Detour(%s)_1013a7b8
1013aa34 | Label | s_%s\macroquest.ini_1013aa34
1013aa8c | Label | MQ2TicksType::vftable_meta_ptr
1013aa90 | Label | MQ2TicksType::vftable
1013af90 | Label | s_Macro_will_display_a_list_of_Mac_1013af90
1013afc4 | Label | s_Help_-_Displaying_Core_help_1013afc4
1013b054 | Label | s_SpawnID_1013b054
1013b384 | Label | s_Filtering_of_MQ2Data_Errors_is_s_1013b384
1013bca4 | Label | s_%s\MacroQuest.log_1013bca4
1013c168 | Label | s_There_are_no_spawns_matching:_%s_1013c168
1013c244 | Label | s_%d_skills_displayed._1013c244
1013c26c | Label | s_MQPauseOnChat_1013c26c
1013c2e0 | Label | s_Syntax:_/mqpause_[on|off]_[chat_[_1013c2e0
1013c39c | Label | s_%d_alias%s_displayed._1013c39c
1013c470 | Label | s_%d_substitution%s_displayed._1013c470
1013d100 | Label | MQ2Internal::MQ2Type::vftable_meta_ptr
1013d104 | Label | MQ2Internal::MQ2Type::vftable
1013d210 | Label | s_NearestSpawn_1013d210
1013d22c | Label | s_Spawn_1013d22c
1013d294 | Label | s_MacroQuest_1013d294
1013d2dc | Label | s_LastSpawn_1013d2dc
1013d340 | Label | s_NamingSpawn_1013d340
1013d34c | Label | s_SpawnCount_1013d34c
1013d648 | Label | s_spawn_1013d648
1013d828 | Label | s_DisplayName_1013d828
1013e988 | Label | s_macroquest_1013e988
1013e9e0 | Label | s_MQ2DataError_1013e9e0
1013ea14 | Label | s_ChatChannels_1013ea14
1013ea24 | Label | s_ChatChannel_1013ea24
1013ed6c | Label | s_LootType_1013ed6c
1013ed78 | Label | s_Looter_1013ed78
1013ed80 | Label | s_Looters_1013ed80
1013f25c | Label | s_%s\MQ2Main.dll_1013f25c
1013f2a4 | Label | s_loot%d_1013f2a4
1013f328 | Label | MQ2ItemType::vftable_meta_ptr
1013f32c | Label | MQ2ItemType::vftable
1013f344 | Label | MQ2CorpseType::vftable_meta_ptr
1013f348 | Label | MQ2CorpseType::vftable
1013f360 | Label | MQ2GroupType::vftable_meta_ptr
1013f364 | Label | MQ2GroupType::vftable
1013f37c | Label | MQ2TimeType::vftable_meta_ptr
1013f380 | Label | MQ2TimeType::vftable
1013f398 | Label | MQ2RaceType::vftable_meta_ptr
1013f39c | Label | MQ2RaceType::vftable
1013f3b4 | Label | MQ2SpellType::vftable_meta_ptr
1013f3b8 | Label | MQ2SpellType::vftable
1013f3d0 | Label | MQ2DZMemberType::vftable_meta_ptr
